0,0,8,2015,6,20,23,32,32,0,20,20,20
0,0,11,2015,6,20,23,32,33,0,20,20,20
0,0,9,2015,6,20,23,32,33,0,20,20,20
0,0,11,2015,6,20,23,32,34,0,20,20,20
3,4,39,2015,6,20,23,32,35,0,20,20,20
0,15,27,2015,6,20,23,32,36,0,20,20,20
0,0,11,2015,6,20,23,32,37,0,20,20,20
4,0,16,2015,6,20,23,32,38,0,20,20,20
5,2,22,2015,6,20,23,32,39,0,20,20,20
47,19,22,2015,6,20,23,32,40,0,20,20,20
57,13,45,2015,6,20,23,32,41,0,20,20,20
16,15,85,2015,6,20,23,32,42,0,20,20,20
27,121,29,2015,6,20,23,32,42,0,20,20,20
161,118,101,2015,6,20,23,32,43,0,20,20,20
142,201,107,2015,6,20,23,32,44,0,20,20,20
35,104,93,2015,6,20,23,32,45,0,20,20,20
32,46,55,2015,6,20,23,32,46,0,20,20,20
0,0,13,2015,6,20,23,32,47,0,20,20,20
0,0,17,2015,6,20,23,32,48,0,20,20,20
0,19,25,2015,6,20,23,32,49,0,20,20,20
0,18,20,2015,6,20,23,32,50,0,20,20,20
2,35,31,2015,6,20,23,32,51,0,20,20,20
